TransactionId,Voucher,Amount (Original),Amount (Base USD),Amount (Base),Currency (Original),Account Code,HFM Account,Journal Type,Journal Desc,Customer or Supplier,Transaction Date,Transaction Entered By,Transaction Entered Date,Transaction Updated By,Transaction Updated Date,COY_ID,Entity Name,Vessel AUX,Reference,Updated in ODP,Transaction Open,Transaction Text
VGR731484843,AUTO,-8056.31,-6241.33,-8056.31,USD,1210000,BS26100,JV,Journal Voucher,,12-08-2025,Deepak Yadav,48:35.5,Deepak Yadav,48:35.5,VSERGSM0159,SSCM SHIP SUPPLY CHAIN MANAGEMENT BRANCH,,,03:48.5,Yes,Inter-company settlement
VGR731484844,AUTO,-33689.35,-26099.59,-33689.35,USD,1210000,BS26100,JV,Journal Voucher,,12-08-2025,Deepak Yadav,48:35.5,Deepak Yadav,48:35.5,VSERGSE0075,MTS - MSD Management (NEW),,,03:48.5,Yes,Inter-company settlement
VGR731484845,AUTO,-109977.24,-85200.83,-109977.24,USD,1210000,BS26100,JV,Journal Voucher,,12-08-2025,Deepak Yadav,48:35.5,Deepak Yadav,48:35.5,VSERGSM0277,BMPL - Belships Management (Singapore) Pte Ltd,,,03:48.5,Yes,Inter-company settlement
VGR731484846,AUTO,-446.24,-345.71,-446.24,USD,1210000,BS26100,JV,Journal Voucher,,12-08-2025,Deepak Yadav,48:35.5,Deepak Yadav,48:35.5,VSERGSM0061,NOR V.SHIPS NORWAY AS,,,03:48.5,Yes,Inter-company settlement
VGR731484847,AUTO,-49915.27,-38670.02,-49915.27,USD,1210000,BS26100,JV,Journal Voucher,,12-08-2025,Deepak Yadav,48:35.5,Deepak Yadav,48:35.5,VLEIGLE0005,CAT OCL Catering Ltd (Cyprus) ,,,03:48.5,Yes,Inter-company settlement
VGR731484848,AUTO,-23766.92,-18412.55,-23766.92,USD,1210000,BS26100,JV,Journal Voucher,,12-08-2025,Deepak Yadav,48:35.5,Deepak Yadav,48:35.5,VSERGSM0047,GLW - V.Ships UK Ltd ,,,03:48.5,Yes,Inter-company settlement
VGR731484849,AUTO,-69975.35,-54210.85,-69975.35,USD,1210000,BS26100,JV,Journal Voucher,,12-08-2025,Deepak Yadav,48:35.5,Deepak Yadav,48:35.5,VSERGSM0115,VMIN V.SHIPS MANAGEMENT (New),,,03:48.5,Yes,Inter-company settlement
VGR731484850,AUTO,-11610.6,-8994.89,-11610.6,USD,1210000,BS26100,JV,Journal Voucher,,12-08-2025,Deepak Yadav,48:35.5,Deepak Yadav,48:35.5,VSERGSM0257,VPSS IT INFRASTRUCTURE,,,03:48.5,Yes,Inter-company settlement
VGR731484851,AUTO,-15173.27,-11754.94,-15173.27,USD,1210000,BS26100,JV,Journal Voucher,,12-08-2025,Deepak Yadav,48:35.5,Deepak Yadav,48:35.5,VCORGSE0060,VVA - Vouvray Acquisition Ltd,,,03:48.5,Yes,Inter-company settlement
VGR731494725,AUTO,57.82,44.79,57.82,USD,5940000,IS431000,PA,Purchase Invoice Payment (Finalised Adjustment),HIROYOSHI NOSU,21-08-2025,girisha shirke,58:09.9,girisha shirke,58:09.9,,,,VSV700385341,03:48.5,Yes,HIROYOSHI NOSU(JPY 700000.00)
VGR731500495,259422V7,-6.11,-4.73,-6.11,SGD,5940000,IS431000,JV,Journal Voucher,,25-08-2025,Savita Gaikwad,54:10.6,Mini Nair,13:07.3,,,,,03:48.5,Yes,Reversal of Invoice VSA-2025-42635
VGR731502584,259428V7,-8.06,-6.24,-8.06,SGD,5940000,IS431000,JV,Journal Voucher,,25-08-2025,Savita Gaikwad,14:56.9,Mini Nair,57:33.9,,,,,03:48.5,Yes,TS LIANYUNGANG wrongly paid to VSA
